wl,Throughput(ops/sec),[READ-MODIFY-WRITE]-AverageLatency(us),RunTime(ms),ram,n,t,dbs
n1t1a, 697.3987028384128, 350.63697545526526, 697.3987028384128,2GB,ru,res.x,unknown
f, 2916.2681100249633, 335.7571, 2916.2681100249633,2GB,1,4,500
a, 2854.094571146472, 1.2054528E7, 2854.094571146472,2GB,1,1,2000
a, 673.4222138418569, 1476.95791125, 673.4222138418569,2GB,6,1,800
f, 542.1229534858506, 872.426396955738, 542.1229534858506,2GB,3,4,500
c, 519.0221622463279, 2210816.0, 519.0221622463279,2GB,1,3,1000
c, 685.6829402084476, 2210816.0, 685.6829402084476,2GB,3,4,800
c, 591.1849593087393, 1678.99888, 591.1849593087393,2GB,6,1,500
f, 322.2272346458723, 1317.2770816491511, 322.2272346458723,2GB,6,4,1000
a, 624.02496099844, 866.6362201617676, 624.02496099844,2GB,3,2,800
c, 421.40750105351873, 2212864.0, 421.40750105351873,2GB,3,3,1000
c, 721.3966238638003, 2212864.0, 721.3966238638003,2GB,3,3,500
f, 203.3057515197105, 1805.111909036505, 203.3057515197105,2GB,6,1,800
a, 643.4700020719735, 1545.633856, 643.4700020719735,2GB,6,3,1000
c, 2825.826642600043, 348.83723625, 2825.826642600043,2GB,1,3,800
c, 740.7956144899622, 2210816.0, 740.7956144899622,2GB,1,4,500
c, 610.2612375792768, 1629.47853, 610.2612375792768,2GB,6,4,800
f, 460.7445632141541, 348.21882494004797, 460.7445632141541,2GB,1,4,1000
c, 231.50827642088205, 2245632.0, 231.50827642088205,2GB,6,4,1000
a, 1285.2247986695352, 772.647434, 1285.2247986695352,2GB,3,3,1000
f, 2873.4476199233363, 340.937858, 2873.4476199233363,2GB,1,1,500
c, 493.51033904160295, 2237440.0, 493.51033904160295,2GB,6,4,800
a, 648.3713559908865, 1531.784252, 648.3713559908865,2GB,6,5,500
f, 1295.12498765584, 766.24019625, 1295.12498765584,2GB,3,2,800
c, 684.8845969454147, 2210816.0, 684.8845969454147,2GB,3,3,800
f, 1296.4808647527368, 765.4582925, 1296.4808647527368,2GB,3,4,800
f, 596.4679553555665, 1665.477382, 596.4679553555665,2GB,6,2,500
a, 1302.3525370641391, 761.795765, 1302.3525370641391,2GB,3,3,800
f, 2960.386330416119, 332.76933125, 2960.386330416119,2GB,1,5,800
c, 876.7745917737501, 1133.415249, 876.7745917737501,1GB,3,3,1000
c, 534.2165713980447, 2210816.0, 534.2165713980447,1GB,1,4,800
