ld,wl,Throughput(ops/sec),RunTime(ms),ram,n,t,RunTime(s),dbs
True,c, 591.3758477372777, 845486.0,1GB,6,3,845.486,500
False,c, 522.9305025362129, 19123.0,1GB,1,4,19.123,1000
False,a, 404.0567295648309, 24749.0,1GB,6,3,24.749,800
True,f, 615.7423143044329, 812028.0,1GB,6,4,812.028,500
True,a, 953.4285887945922, 839077.0,1GB,3,5,839.077,800
True,f, 1568.524112921188, 318771.0,1GB,1,2,318.771,500
True,a, 850.0155977862194, 1176449.0,1GB,3,1,1176.449,1000
False,a, 437.4261843313941, 22861.0,1GB,3,2,22.861,500
True,a, 859.6382642184169, 581640.0,1GB,3,2,581.64,500
True,a, 964.8300162477375, 518226.0,1GB,3,5,518.226,500
False,f, 208.79878061512122, 47893.0,1GB,6,2,47.893,1000
False,f, 171.3296897219319, 58367.0,1GB,6,5,58.367,1000
False,a, 556.2353988207809, 17978.0,1GB,1,3,17.978,1000
False,c, 438.5580212262082, 22802.0,1GB,3,5,22.802,1000
False,c, 552.3336095001381, 18105.0,1GB,3,2,18.105,800
False,c, 521.1318984835061, 19189.0,1GB,1,2,19.189,800
True,c, 821.6670309390504, 608519.0,1GB,3,4,608.519,500
False,a, 228.50353037954437, 43763.0,1GB,3,5,43.763,1000
True,a, 1817.7191260406441, 275070.0,1GB,1,1,275.07,500
True,f, 892.7345911219777, 896123.0,1GB,3,3,896.123,800
True,f, 886.7103401066181, 563882.0,1GB,3,1,563.882,500
False,c, 390.2591320636903, 25624.0,1GB,3,5,25.624,800
True,f, 1445.8723236903288, 345812.0,1GB,1,3,345.812,500
True,c, 634.98866942093, 1259865.0,1GB,6,1,1259.865,800
True,a, 614.3283486731121, 813897.0,1GB,6,4,813.897,500
False,c, 338.3522246658772, 29555.0,1GB,1,1,29.555,800
False,f, 172.06965379585657, 58116.0,1GB,3,1,58.116,1000
True,a, 1435.4987353256142, 348311.0,1GB,1,5,348.311,500
True,a, 947.9463689862282, 527456.0,1GB,3,3,527.456,500
False,c, 436.1479413817167, 22928.0,1GB,1,1,22.928,500
False,f, 481.3014390913029, 20777.0,1GB,1,5,20.777,800
False,f, 358.32019492618605, 27908.0,1GB,3,3,27.908,1000
True,a, 1422.3132502702395, 351540.0,1GB,1,4,351.54,500
True,a, 1879.6745155608855, 532007.0,1GB,1,3,532.007,1000
True,c, 1464.2403228357064, 341474.0,1GB,1,1,341.474,500
False,c, 329.1205897840969, 30384.0,1GB,6,2,30.384,500
True,f, 918.4929367893161, 870992.0,1GB,3,5,870.992,800
False,a, 539.0254420008624, 18552.0,1GB,1,3,18.552,800
True,f, 1030.2600247519972, 776503.0,1GB,3,1,776.503,800
False,a, 561.324726354196, 17815.0,1GB,1,2,17.815,800
False,c, 226.3160277010818, 44186.0,1GB,6,2,44.186,800
True,a, 1722.6788517484113, 464393.0,1GB,1,1,464.393,800
False,c, 369.30349361104953, 27078.0,1GB,6,4,27.078,500
True,f, 648.719622081897, 1541498.0,1GB,6,2,1541.498,1000
False,a, 624.4146113019044, 16015.0,1GB,1,2,16.015,500
True,f, 1466.2326617987742, 341010.0,1GB,1,5,341.01,500
False,c, 208.54187520854188, 47952.0,1GB,6,3,47.952,1000
True,c, 1438.4101540249592, 347606.0,1GB,1,4,347.606,500
True,a, 1763.034888256645, 453763.0,1GB,1,2,453.763,800
False,a, 329.4784356363876, 30351.0,1GB,3,5,30.351,500
False,f, 265.76660376857046, 37627.0,1GB,1,1,37.627,800
True,c, 951.469354123573, 1051006.0,1GB,3,4,1051.006,1000
True,a, 897.8937656991113, 890974.0,1GB,3,4,890.974,800
True,c, 1433.0794871868363, 348899.0,1GB,1,3,348.899,500
True,a, 617.1567096660318, 810167.0,1GB,6,2,810.167,500
False,c, 424.68254979402894, 23547.0,1GB,6,5,23.547,800
False,f, 438.1736920515292, 22822.0,1GB,3,5,22.822,800
False,a, 341.7518198284406, 29261.0,1GB,6,1,29.261,500
False,c, 342.2664886880925, 29217.0,1GB,6,5,29.217,1000
False,f, 363.24010170722846, 27530.0,1GB,3,4,27.53,1000
True,c, 1891.6715377208764, 528633.0,1GB,1,1,528.633,1000
True,a, 651.7961546634059, 1534222.0,1GB,6,1,1534.222,1000
False,f, 211.3271344040575, 47320.0,1GB,3,3,47.32,500
False,c, 528.8766659614978, 18908.0,1GB,1,5,18.908,800
False,c, 304.1455032087351, 32879.0,1GB,6,1,32.879,500
True,f, 943.2502895778389, 1060164.0,1GB,3,2,1060.164,1000
True,f, 621.9624906861117, 1607814.0,1GB,6,3,1607.814,1000
True,c, 938.130306299545, 532975.0,1GB,3,2,532.975,500
True,c, 1762.4716902984746, 453908.0,1GB,1,2,453.908,800
False,a, 326.797385620915, 30600.0,1GB,6,1,30.6,1000
True,f, 919.9632014719411, 543500.0,1GB,3,5,543.5,500
False,f, 513.6370640505419, 19469.0,1GB,1,3,19.469,500
False,f, 175.87365236813872, 56859.0,1GB,6,5,56.859,800
True,c, 1891.9041637026835, 528568.0,1GB,1,2,528.568,1000
True,a, 1891.0312171433327, 528812.0,1GB,1,5,528.812,1000
True,a, 1447.647283634637, 345388.0,1GB,1,2,345.388,500
False,f, 540.2193290475933, 18511.0,1GB,1,3,18.511,800
False,a, 387.97284190106694, 25775.0,1GB,6,5,25.775,800
True,f, 1884.4315800581912, 530664.0,1GB,1,3,530.664,1000
True,c, 931.3232893220991, 1073741.0,1GB,3,1,1073.741,1000
False,c, 331.5979706204198, 30157.0,1GB,6,2,30.157,1000
