med,row/s,max,sum ms,errors,compaction,.99,.999,total ops,compression,mb,pk/s,.95,max ms,rf,stderr,time,mean,sdv ms,op/s,type,network_type,gc: #,op
71.0,2334,854.6,0,0,none,318.8,706.7,18613,LZ4Compressor,0,2334,200.7,0,none,0.10635,8.8,87.3,0,2334,,wireless,0,writes_only
68.9,2667,297.8,0,0,none,196.3,267.3,24484,LZ4Compressor,0,2667,145.0,0,none,0.0852,11.0,74.8,0,2667,,wireless,0,writes_only
71.2,2624,327.9,0,0,none,197.5,260.2,30566,LZ4Compressor,0,2624,150.6,0,none,0.07094,13.3,75.9,0,2624,,wireless,0,writes_only
69.6,2592,359.4,0,0,none,197.9,239.1,36428,LZ4Compressor,0,2592,156.8,0,none,0.06083,15.6,75.6,0,2592,,wireless,0,writes_only
75.9,2496,398.2,0,0,none,209.5,281.0,41746,LZ4Compressor,0,2496,167.0,0,none,0.05322,17.7,81.7,0,2496,,wireless,0,writes_only
68.4,2642,369.1,0,0,none,203.0,271.6,47739,LZ4Compressor,0,2642,152.3,0,none,0.04753,20.0,76.1,0,2642,,wireless,0,writes_only
73.7,2140,415.2,0,0,none,282.3,336.9,4281,LZ4Compressor,0,2140,181.4,0,none,0.0,2.0,82.6,0,2140,,wireless,0,writes_only
82.3,2254,340.3,0,0,none,216.0,300.7,9388,LZ4Compressor,0,2254,164.4,0,none,0.00631,4.3,89.2,0,2254,,wireless,0,writes_only
73.9,2541,360.7,0,0,none,189.0,234.5,15168,LZ4Compressor,0,2541,151.0,0,none,0.03379,6.5,78.1,0,2541,,wireless,0,writes_only
72.9,2505,335.8,0,0,none,226.8,303.6,20376,LZ4Compressor,0,2505,173.4,0,none,0.02905,8.6,79.1,0,2505,,wireless,0,writes_only
67.8,2747,307.8,0,0,none,184.2,239.5,26194,LZ4Compressor,0,2747,144.0,0,none,0.03224,10.7,74.0,0,2747,,wireless,0,writes_only
74.6,2579,270.8,0,0,none,213.8,260.6,31917,LZ4Compressor,0,2579,151.1,0,none,0.02686,13.0,77.3,0,2579,,wireless,0,writes_only
69.4,2639,386.1,0,0,none,189.7,276.6,37717,LZ4Compressor,0,2639,145.6,0,none,0.02598,15.2,75.6,0,2639,,wireless,0,writes_only
70.3,2620,281.5,0,0,none,211.8,240.8,43441,LZ4Compressor,0,2620,156.6,0,none,0.02277,17.3,76.7,0,2620,,wireless,0,writes_only
70.1,2620,302.5,0,0,none,206.4,269.5,49400,LZ4Compressor,0,2620,159.1,0,none,0.0203,19.6,76.3,0,2620,,wireless,0,writes_only
69.1,2746,313.5,0,0,none,162.7,241.2,50543,LZ4Compressor,0,2746,131.7,0,none,0.2047,20.0,73.7,0,2746,,wireless,0,writes_only
51.9,1005,534.5,0,0,none,293.6,372.5,2010,LZ4Compressor,0,1005,214.7,0,none,0.0,2.0,76.4,0,1005,,wireless,0,reads_only
65.1,1045,441.5,0,0,none,362.0,432.8,2091,LZ4Compressor,0,1045,256.4,0,none,0.0,2.0,94.2,0,1045,,wireless,0,reads_only
