med,row/s,max,sum ms,errors,compaction,.99,.999,total ops,compression,mb,pk/s,.95,max ms,rf,stderr,time,mean,sdv ms,op/s,type,network_type,gc: #,op
23.6,3212,514.3,0,0,none,323.7,423.1,25304,none,0,3212,229.5,0,none,0.04626,8.5,62.0,0,3212,,wired,0,reads_only
21.6,2863,618.7,0,0,none,362.3,457.2,37940,none,0,2863,259.4,0,none,0.03171,12.9,71.0,0,2863,,wired,0,reads_only
29.6,3652,472.1,0,0,none,280.8,415.2,53846,none,0,3652,183.8,0,none,0.04895,17.2,54.7,0,3652,,wired,0,reads_only
25.7,3629,535.6,0,0,none,269.0,349.4,69375,none,0,3629,185.5,0,none,0.04748,21.5,55.1,0,3629,,wired,0,reads_only
30.1,4085,503.8,0,0,none,226.0,386.9,86708,none,0,4085,151.9,0,none,0.05364,25.7,48.8,0,4085,,wired,0,reads_only
35.3,3901,395.6,0,0,none,234.7,353.9,103314,none,0,3901,154.3,0,none,0.04784,30.0,51.5,0,3901,,wired,0,reads_only
80.5,2115,354.7,0,0,none,230.0,316.1,8455,none,0,2115,172.1,0,none,0.0,4.0,87.7,0,2115,,wired,0,writes_only
79.2,2232,429.9,0,0,none,283.9,358.4,17981,none,0,2232,202.6,0,none,0.02381,8.3,90.7,0,2232,,wired,0,writes_only
68.7,2619,394.5,0,0,none,219.9,327.7,28954,none,0,2619,163.4,0,none,0.05413,12.5,76.4,0,2619,,wired,0,writes_only
70.0,2424,438.3,0,0,none,275.3,365.7,39189,none,0,2424,185.9,0,none,0.04171,16.7,82.3,0,2424,,wired,0,writes_only
70.4,2451,464.0,0,0,none,228.3,334.5,49254,none,0,2451,173.4,0,none,0.03476,20.8,81.6,0,2451,,wired,0,writes_only
69.1,2702,312.5,0,0,none,212.5,261.1,60721,none,0,2702,149.2,0,none,0.03272,25.0,73.8,0,2702,,wired,0,writes_only
65.7,2750,413.1,0,0,none,206.6,278.1,72141,none,0,2750,147.7,0,none,0.03291,29.2,71.9,0,2750,,wired,0,writes_only
89.3,2183,345.8,0,0,none,246.7,329.0,73941,none,0,2183,217.6,0,none,0.0502,30.0,97.3,0,2183,,wired,0,writes_only
36.3,3174,433.8,0,0,none,267.6,331.6,12707,none,0,3174,186.6,0,replication_1,0.0,4.0,59.9,0,3174,,wired,0,reads_only
28.9,3897,433.1,0,0,none,234.2,321.4,29362,none,0,3897,167.0,0,replication_1,0.06965,8.3,51.1,0,3897,,wired,0,reads_only
32.1,3942,416.3,0,0,none,235.4,313.5,46400,none,0,3942,160.8,0,replication_1,0.05265,12.6,51.2,0,3942,,wired,0,reads_only
