ram,wl,RunTime(s),dbs,ld,nm,Throughput(ops/sec),RunTime(ms),lt,n,rf,t,nt
1GB,c,572.295,500,True,nodal, 873.6752898417774, 572295.0,1,3,1,5,vm
1GB,a,1233.987,800,True,nodal, 648.3050469737526, 1233987.0,1,6,1,3,vm
1GB,a,30.14,800,False,nodal, 331.78500331785006, 30140.0,1,6,1,2,vm
1GB,f,50.813,500,False,nodal, 196.80003148800503, 50813.0,1,6,1,5,vm
1GB,a,37.395,1000,False,nodal, 267.4154298703035, 37395.0,1,3,1,4,vm
1GB,a,22.727,1000,False,nodal, 440.0052800633608, 22727.0,1,3,1,2,vm
1GB,c,455.765,800,True,nodal, 1755.290555439755, 455765.0,1,1,1,4,vm
1GB,f,25.792,500,False,nodal, 387.71712158808936, 25792.0,1,3,1,1,vm
1GB,a,40.289,500,False,nodal, 248.20670654521086, 40289.0,1,1,1,1,vm
1GB,f,21.163,1000,False,nodal, 472.5227992250626, 21163.0,1,1,1,5,vm
1GB,a,664.053,1000,True,nodal, 1505.9038962251507, 664053.0,1,1,1,1,vm
1GB,a,524.9,500,True,nodal, 952.5623928367309, 524900.0,1,3,1,1,vm
1GB,f,452.904,800,True,nodal, 1766.378746930917, 452904.0,1,1,1,2,vm
1GB,a,19.796,500,False,nodal, 505.1525560719337, 19796.0,1,6,1,3,vm
1GB,f,23.449,500,False,nodal, 426.4574182267901, 23449.0,1,1,1,1,vm
1GB,f,1545.851,1000,True,nodal, 646.8928764803335, 1545851.0,1,6,1,5,vm
1GB,a,454.279,800,True,nodal, 1761.03231714431, 454279.0,1,1,1,5,vm
1GB,a,42.026,1000,False,nodal, 237.94793699138629, 42026.0,1,6,1,4,vm
1GB,f,1214.151,800,True,nodal, 658.8966281788673, 1214151.0,1,6,1,2,vm
1GB,c,744.493,800,True,nodal, 1074.5567789085997, 744493.0,1,3,1,5,vm
1GB,f,1048.748,1000,True,nodal, 953.5179089733664, 1048748.0,1,3,1,4,vm
1GB,f,21.947,500,False,nodal, 455.6431402925229, 21947.0,1,1,1,4,vm
1GB,f,1062.592,1000,True,nodal, 941.0949828344275, 1062592.0,1,3,1,3,vm
1GB,f,23.687,500,False,nodal, 422.17249968337063, 23687.0,1,3,1,2,vm
1GB,c,459.553,800,True,nodal, 1740.8220596971405, 459553.0,1,1,1,1,vm
1GB,f,1220.739,800,True,nodal, 655.3407403220508, 1220739.0,1,6,1,5,vm
1GB,c,726.359,500,True,nodal, 688.3648443813596, 726359.0,1,6,1,4,vm
1GB,a,19.194,1000,False,nodal, 520.9961446285298, 19194.0,1,1,1,2,vm
